n,wiener_max,wiener_min,sombor_max,sombor_min,zagreb_max,zagreb_min
3,4,4,4.47213595499958,4.47213595499958,6,6
4,10,9,9.486832980505138,7.3005630797457695,12,10
5,20,16,16.492422502470642,10.12899020449196,20,14
6,35,25,25.495097567963924,12.957417329238151,30,18
7,56,36,36.49657518178932,15.78584445398434,42,22
8,84,49,49.49747468305833,18.61427157873053,56,26
9,120,64,64.4980619863884,21.442698703476722,72,30
10,165,81,81.49846624323675,24.271125828222914,90,34
