Type,Value,Edges
Maximum Wiener Tree,165,"[(1, 0), (1, 2), (0, 6), (2, 3), (3, 4), (4, 5), (6, 7), (7, 8), (8, 9)]"
Minimum Wiener Tree,81,"[(1, 0), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]"
